Stanje,Pregledi,Cijena,Proizvodjac,Model,Gorivo,Godiste,Transmisija,Kilometraza,Kubikaza,Snaga motora (KW),Broj vrata
Koristeno,2579.0,7999.0,Ford,Ka / Ka+,Benzin,2015.0,Manuelni,164000,1.2,51.0,2/3
Koristeno,3161.0,24500.0,Audi,A3,Dizel,2013.0,Manuelni,185809,2.0,110.0,4/5
Koristeno,1892.0,239980.0,Mercedes-Benz,S 350,Dizel,2022.0,Automatik,113448,2.9,210.0,4/5
Koristeno,1061.0,16900.0,Volkswagen,Golf,Dizel,2013.0,Manuelni,280000,1.6,77.0,4/5
Koristeno,7269.0,9500.0,Opel,Insignia,Dizel,2011.0,Manuelni,192000,2.0,96.0,4/5
Koristeno,785.0,29900.0,Audi,Q5,Dizel,2011.0,Automatik,220000,2.0,103.0,4/5
Novo,1257.0,,Mercedes-Benz,GLE 450 Coupe,Dizel,2024.0,Automatik,0,3.0,270.0,4/5
Koristeno,73.0,17500.0,Volkswagen,Golf,Dizel,2014.0,Manuelni,238853,1.6,77.0,4/5
Koristeno,3012.0,20900.0,Volkswagen,Golf,Dizel,2013.0,Automatik,260000,2.0,110.0,4/5
Koristeno,10844.0,72000.0,Audi,Q7,Dizel,2017.0,Automatik,188234,3.0,160.0,4/5
Novo,194.0,,Mercedes-Benz,GLC 220,Dizel,2024.0,Automatik,0,2.0,145.0,4/5
Koristeno,795.0,12000.0,Volkswagen,Passat,Dizel,2009.0,Manuelni,315000,2.0,125.0,4/5
Koristeno,5254.0,5650.0,Peugeot,107,Benzin,2007.0,Manuelni,170123,1.0,51.0,2/3
Koristeno,932.0,23990.0,Volkswagen,Golf,Dizel,2013.0,Manuelni,136000,1.6,77.0,4/5
Koristeno,547.0,18850.0,Volkswagen,Golf,Dizel,2012.0,Manuelni,130000,2.0,103.0,4/5
Koristeno,736.0,78900.0,Mercedes-Benz,GLC 220,Dizel,2020.0,Automatik,170000,2.0,143.0,4/5
Koristeno,2473.0,10100.0,Smart,ForTwo,Benzin,2009.0,Automatik,117000,1.0,45.0,2/3
Koristeno,2594.0,,Volkswagen,Golf,Dizel,2010.0,Automatik,249000,1.6,77.0,4/5
Koristeno,938.0,16999.0,Mercedes-Benz,B 200,Dizel,2012.0,Manuelni,270187,2.0,100.0,4/5
Koristeno,4274.0,28800.0,Audi,A6,Dizel,2012.0,Automatik,302000,2.0,130.0,4/5
Koristeno,5919.0,31900.0,Audi,Q5,Dizel,2013.0,Automatik,156000,2.0,130.0,4/5
